# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_flush_local
# Size      Bandwidth (MB/s)
1                       0.53
2                       1.07
4                       2.14
8                       4.28
16                      8.60
32                     17.18
64                     34.31
128                    68.89
256                   137.07
512                   272.44
1024                  534.46
2048                 1045.34
4096                 1855.25
8192                 3519.68
16384                6349.64
32768               10678.41
65536               15353.31
131072              13315.03
262144              11856.01
524288              12153.92
1048576             12831.64
2097152             13476.90
4194304             13341.00
