# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_flush_local
# Size          Latency (us)
1                       2.09
2                       2.08
4                       2.08
8                       2.08
16                      2.07
32                      2.08
64                      2.08
128                     2.08
256                     2.10
512                     2.11
1024                    2.14
2048                    2.17
4096                    2.39
8192                    2.51
16384                   2.71
32768                   3.14
65536                   4.01
131072                  6.13
262144                 11.44
524288                 19.69
1048576                36.38
2097152                69.52
4194304               155.84
