# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_flush_local
# Size      Bandwidth (MB/s)
1                       0.61
2                       1.21
4                       2.43
8                       4.90
16                      9.77
32                     19.52
64                     39.01
128                    77.68
256                   155.43
512                   307.96
1024                  599.53
2048                 1174.25
4096                 2047.04
8192                 3852.79
16384                6952.26
32768               11487.16
65536               15290.50
131072              13460.73
262144              12153.51
524288              12270.00
1048576             12425.38
2097152             12697.60
4194304             12778.49
