# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_lock/unlock
# Size          Latency (us)
1                       5.65
2                       5.64
4                       5.63
8                       5.64
16                      5.66
32                      5.64
64                      5.65
128                     5.67
256                     5.68
512                     5.72
1024                    5.75
2048                    5.78
4096                    6.00
8192                    6.14
16384                   6.35
32768                   6.86
65536                   7.72
131072                 10.14
262144                 15.37
524288                 23.59
1048576                40.20
2097152                73.15
4194304               156.69
