# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_lock/unlock
# Size      Bandwidth (MB/s)
1                       0.58
2                       1.20
4                       2.38
8                       4.83
16                      9.61
32                     19.15
64                     38.31
128                    76.16
256                   152.12
512                   301.72
1024                  589.06
2048                 1147.17
4096                 2002.93
8192                 3791.84
16384                6822.06
32768               11339.93
65536               14922.80
131072              13589.34
262144              12439.76
524288              12611.44
1048576             12784.82
2097152             13094.90
4194304             13135.94
