# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_lock/unlock
# Size          Latency (us)
1                       4.56
2                       4.55
4                       4.57
8                       4.55
16                      4.56
32                      4.57
64                      4.54
128                     4.57
256                     4.57
512                     4.57
1024                    4.63
2048                    4.68
4096                    4.94
8192                    5.05
16384                   5.32
32768                   5.82
65536                   6.92
131072                 10.22
262144                 14.44
524288                 22.51
1048576                38.58
2097152                70.79
4194304               153.53
