# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_lock/unlock
# Size          Latency (us)
1                       4.93
2                       4.87
4                       4.89
8                       4.87
16                      4.90
32                      4.89
64                      4.88
128                     4.95
256                     4.93
512                     4.92
1024                    4.95
2048                    5.07
4096                    5.24
8192                    5.36
16384                   5.61
32768                   6.15
65536                   7.30
131072                  9.88
262144                 15.13
524288                 25.16
1048576                43.72
2097152                79.97
4194304               184.85
