# OSU MPI_Get-CUDA Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_post/start/complete/wait
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.38
2                       0.74
4                       1.25
8                       3.16
16                      4.99
32                     10.79
64                     22.79
128                    39.05
256                    94.16
512                   155.16
1024                  378.34
2048                  650.50
4096                 1060.35
8192                 1720.98
16384                3129.81
32768                4036.20
65536                5911.06
131072               6678.02
262144               8791.53
524288              11257.42
1048576             10349.92
2097152             11066.75
4194304             11065.09
