# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_lock/unlock
# Size      Bandwidth (MB/s)
1                       1.20
2                       2.68
4                       5.34
8                      10.73
16                     21.10
32                     42.66
64                     84.64
128                   169.35
256                   329.95
512                   622.95
1024                 1140.51
2048                 1986.42
4096                 3336.11
8192                 5033.57
16384                6850.23
32768                8224.18
65536                7760.62
131072               8285.35
262144               7538.14
524288               6625.58
1048576              6677.57
2097152              6617.50
4194304              6610.20
