# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_lock/unlock
# Size          Latency (us)
1                       5.96
2                       5.95
4                       5.95
8                       5.94
16                      5.95
32                      5.92
64                      5.97
128                     5.98
256                     6.06
512                     6.14
1024                    6.35
2048                    7.13
4096                    7.83
8192                    9.46
16384                  11.62
32768                  15.52
65536                  22.28
131072                 36.02
262144                 63.75
524288                113.92
1048576               217.85
2097152               310.79
4194304               521.74
