# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       3.01
2                       2.97
4                       2.98
8                       2.97
16                      2.98
32                      2.97
64                      2.97
128                     2.97
256                     2.98
512                     3.00
1024                    3.04
2048                    3.08
4096                    3.33
8192                    3.44
16384                   3.72
32768                   4.15
65536                   5.26
131072                 11.38
262144                 16.73
524288                 21.33
1048576                45.17
2097152                93.34
4194304               179.67
