# OSU MPI-CUDA Bandwidth Test v5.6.2
# Send Buffer on DEVICE (D) and Receive Buffer on HOST (H)
# Size      Bandwidth (MB/s)
1                       0.04
2                       0.09
4                       0.18
8                       0.36
16                      0.71
32                      1.42
64                      2.85
128                     5.69
256                    11.37
512                    22.67
1024                   45.14
2048                   89.51
4096                  177.12
8192                  351.22
16384                 694.26
32768                1348.50
65536                2490.76
131072               4245.06
262144               6552.42
524288               9578.16
1048576             12579.50
2097152             17056.88
4194304             17147.18
