# OSU MPI-CUDA Latency Test v5.6.2
# Send Buffer on DEVICE (D) and Receive Buffer on HOST (H)
# Size          Latency (us)
0                       0.27
1                      29.44
2                      29.39
4                      29.43
8                      29.47
16                     29.46
32                     29.48
64                     29.45
128                    29.44
256                    29.36
512                    29.43
1024                   29.53
2048                   29.93
4096                   40.21
8192                   50.98
16384                  39.02
32768                  40.50
65536                  44.31
131072                 48.97
262144                 57.20
524288                 73.79
1048576               105.99
2097152               159.53
4194304               326.91
