# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_post/start/complete/wait
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on HOST (H)
# Size          Latency (us)
1                      40.03
2                      40.00
4                      40.06
8                      40.01
16                     40.02
32                     40.01
64                     39.93
128                    40.02
256                    40.05
512                    39.84
1024                   39.72
2048                   39.94
4096                   40.09
8192                   40.38
16384                  40.94
32768                  42.43
65536                  46.02
131072                 50.52
262144                 58.77
524288                 75.36
1048576               107.80
2097152               166.34
4194304               332.03
