# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush_local
# Size          Latency (us)
1                       2.18
2                       2.18
4                       2.18
8                       2.19
16                      2.21
32                      2.20
64                      2.20
128                     2.23
256                     2.25
512                     2.33
1024                    2.42
2048                    2.95
4096                    3.36
8192                    4.05
16384                   5.28
32768                   7.66
65536                  10.43
131072                 15.59
262144                 26.25
524288                 47.38
1048576                93.05
2097152               184.19
4194304               366.46
