# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush_local
# Size      Bandwidth (MB/s)
1                       0.92
2                       1.85
4                       3.70
8                       7.37
16                     14.67
32                     29.24
64                     57.98
128                   114.23
256                   224.34
512                   433.94
1024                  810.44
2048                 1398.14
4096                 2218.38
8192                 3255.58
16384                4297.04
32768                5471.22
65536                7590.02
131072               9394.59
262144              10669.57
524288              11448.81
1048576             11472.52
2097152             11470.46
4194304             11455.04
