# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush_local
# Size          Latency (us)
1                       0.68
2                       0.66
4                       0.66
8                       0.66
16                      0.66
32                      0.66
64                      0.71
128                     0.73
256                     2.11
512                     2.14
1024                    2.23
2048                    2.44
4096                    2.84
8192                    3.77
16384                   4.96
32768                   7.06
65536                  28.86
131072                 15.05
262144                 25.70
524288                 47.05
1048576                89.68
2097152               174.97
4194304               345.56
