# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_flush_local
# Size          Latency (us)
1                       1.25
2                       1.25
4                       1.26
8                       1.25
16                      1.26
32                      1.26
64                      1.32
128                     1.36
256                     1.59
512                     1.64
1024                    1.75
2048                    2.26
4096                    2.74
8192                    3.82
16384                   5.52
32768                   7.60
65536                  10.95
131072                 18.49
262144                 30.01
524288                 52.42
1048576                96.33
2097152               185.23
4194304               423.07
