# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_lock/unlock
# Rank 0 Memory on HOST (H) and Rank 1 Memory on DEVICE (D)
# Size          Latency (us)
1                      11.17
2                      11.16
4                      11.20
8                      11.23
16                     11.24
32                     11.23
64                     11.26
128                    11.23
256                    11.28
512                    11.30
1024                   11.45
2048                   11.63
4096                   12.56
8192                   13.51
16384                  14.90
32768                  16.94
65536                  19.51
131072                 25.10
262144                 35.74
524288                129.61
1048576               228.53
2097152               310.71
4194304               490.81
