# OSU MPI_Get-CUDA Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_post/start/complete/wait
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.08
2                       0.17
4                       0.34
8                       0.68
16                      1.36
32                      2.73
64                      5.44
128                    10.89
256                    21.75
512                    43.77
1024                   87.05
2048                  174.74
4096                  349.06
8192                  697.83
16384                1394.19
32768                2799.01
65536                5420.46
131072              11144.03
262144              23897.21
524288              32178.23
1048576             38552.83
2097152             42422.14
4194304             44608.76
