# OSU MPI_Get-CUDA Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush_local
# Rank 0 Memory on HOST (H) and Rank 1 Memory on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.38
2                       0.77
4                       1.53
8                       3.06
16                      6.12
32                     12.26
64                     24.49
128                    48.50
256                    95.14
512                   187.75
1024                  363.55
2048                  680.24
4096                 1206.15
