# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush_local
# Rank 0 Memory on HOST (H) and Rank 1 Memory on DEVICE (D)
# Size          Latency (us)
1                       2.48
2                       2.47
4                       2.47
8                       2.47
16                      2.47
32                      2.49
64                      2.48
128                     2.49
256                     2.59
512                     2.61
1024                    2.70
2048                    3.54
4096                    3.54
8192                    4.51
16384                   5.95
32768                   7.98
65536                  10.55
131072                 16.40
262144                 27.04
524288                120.38
1048576               219.18
2097152               301.27
4194304               484.35
