# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_lock_all/unlock_all
# Rank 0 Memory on HOST (H) and Rank 1 Memory on DEVICE (D)
# Size          Latency (us)
1                      28.57
2                      28.40
4                      28.43
8                      28.49
16                     28.48
32                     28.48
64                     28.40
128                    28.59
256                    28.63
512                    28.67
1024                   28.79
2048                   29.57
4096                   30.03
8192                   31.51
16384                  33.22
32768                  36.73
65536                  42.04
131072                 53.51
262144                 77.61
524288                125.54
1048576               226.75
2097152               307.41
4194304               488.18
