# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_lock_all/unlock_all
# Size          Latency (us)
1                      10.27
2                      10.35
4                      10.37
8                      10.42
16                     10.41
32                     10.31
64                     10.39
128                    10.42
256                    10.47
512                    10.52
1024                   10.56
2048                   11.37
4096                   11.43
8192                   12.16
16384                  13.55
32768                  15.62
65536                  18.09
131072                 23.47
262144                 34.01
524288                 55.30
1048576               100.77
2097152               191.76
4194304               373.72
