# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_lock_all/unlock_all
# Size      Bandwidth (MB/s)
1                       0.79
2                       1.61
4                       3.22
8                       6.45
16                     12.86
32                     25.60
64                     51.08
128                   100.45
256                   196.62
512                   384.38
1024                  726.97
2048                 1272.51
4096                 2057.36
8192                 3078.92
16384                4219.88
32768                5575.30
65536                7678.67
131072               9447.60
262144              10692.12
524288              11446.07
1048576             11447.10
2097152             11383.44
4194304             11403.01
