# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_lock_all/unlock_all
# Size          Latency (us)
1                       8.78
2                       8.82
4                       8.83
8                       8.83
16                      8.81
32                      8.84
64                      8.79
128                     8.87
256                    10.26
512                    10.33
1024                   10.37
2048                   10.66
4096                   11.06
8192                   11.95
16384                  13.20
32768                  15.33
65536                  18.02
131072                 23.38
262144                 34.03
524288                 55.41
1048576                98.12
2097152               183.47
4194304               354.28
