# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_lock_all/unlock_all
# Size      Bandwidth (MB/s)
1                       1.78
2                       3.68
4                       7.39
8                      14.96
16                     29.86
32                     56.24
64                    116.51
128                   224.58
256                   405.61
512                   841.31
1024                 1676.33
2048                 2938.22
4096                 5575.81
8192                 9289.98
16384               10643.55
32768               11427.53
65536               11835.37
131072              12060.02
262144              12174.55
524288              12234.45
1048576             12264.56
2097152             12280.54
4194304             12288.48
