# OSU MPI_Get-CUDA Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_lock/unlock
# Rank 0 Memory on HOST (H) and Rank 1 Memory on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.67
2                       1.34
4                       2.68
8                       5.34
16                     10.67
32                     21.17
64                     42.22
128                    83.21
256                   160.69
512                   315.99
1024                  597.60
2048                 1074.93
4096                 1785.76
