# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_lock_all/unlock_all
# Size          Latency (us)
1                       4.33
2                       4.33
4                       4.34
8                       4.34
16                      4.33
32                      4.34
64                      4.33
128                     4.33
256                     4.32
512                     4.32
1024                    4.39
2048                    4.45
4096                    4.69
8192                    4.81
16384                   5.04
32768                   5.56
65536                   6.61
131072                  9.05
262144                 14.19
524288                 22.20
1048576                38.36
2097152                70.65
4194304               138.77
