# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_lock_all/unlock_all
# Size      Bandwidth (MB/s)
1                       0.59
2                       1.20
4                       2.38
8                       4.82
16                      9.63
32                     19.28
64                     38.38
128                    76.59
256                   151.18
512                   302.35
1024                  592.02
2048                 1157.99
4096                 2027.27
8192                 3779.93
16384                6719.68
32768               10988.74
65536               14906.29
131072              13603.49
262144              12349.17
524288              12662.48
1048576             12743.98
2097152             12974.89
4194304             13311.27
