# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size      Bandwidth (MB/s)
1                       2.26
2                       4.53
4                       8.79
8                      18.21
16                     36.37
32                     69.46
64                    139.49
128                   272.17
256                   496.35
512                  1004.03
1024                 2028.34
2048                 4053.84
4096                 7975.26
8192                10725.90
16384               11489.02
32768               11878.55
65536               12090.20
131072              12193.24
262144              12244.07
524288              12267.94
1048576             12281.10
2097152             12288.96
4194304             12292.09
