# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size      Bandwidth (MB/s)
1                       0.88
2                       1.77
4                       3.53
8                       7.06
16                     14.05
32                     27.77
64                     55.72
128                   108.68
256                   215.43
512                   416.07
1024                  780.16
2048                 1361.05
4096                 2165.71
8192                 3197.64
16384                4236.53
32768                5420.47
65536                7545.16
131072               9358.14
262144              10655.17
524288              11438.40
1048576             11464.14
2097152             11462.31
4194304             11434.64
