# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       7.87
2                       7.74
4                       7.83
8                       7.79
16                      7.77
32                      7.75
64                      7.77
128                     7.92
256                     7.91
512                     8.50
1024                    8.56
2048                    8.87
4096                    9.68
8192                   10.45
16384                  12.01
32768                  13.62
65536                  18.12
131072                 23.41
262144                 33.91
524288                 55.01
1048576               108.23
2097152               199.47
4194304               396.56
