# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_flush
# Size      Bandwidth (MB/s)
1                       0.32
2                       0.64
4                       1.28
8                       2.54
16                      5.08
32                     10.14
64                     20.26
128                    40.25
256                    71.00
512                   155.38
1024                  309.07
2048                  580.60
4096                 1048.26
8192                 1745.75
16384                2772.18
32768                4086.59
65536                4998.82
131072               7836.45
262144               9580.28
524288              10415.70
1048576             10211.24
2097152             10412.93
4194304             10696.48
