# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_flush
# Size          Latency (us)
1                       3.86
2                       3.85
4                       3.86
8                       3.85
16                      3.86
32                      3.84
64                      3.85
128                     3.87
256                     3.87
512                     3.87
1024                    3.99
2048                    4.22
4096                    4.59
8192                    5.96
16384                   7.12
32768                   9.17
65536                  11.70
131072                 16.92
262144                 27.52
524288                 48.74
1048576                94.21
2097152               185.03
4194304               366.72
