# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_flush_local
# Size          Latency (us)
1                       2.20
2                       2.20
4                       2.20
8                       2.20
16                      2.21
32                      2.22
64                      2.22
128                     2.22
256                     2.26
512                     2.31
1024                    2.41
2048                    2.97
4096                    3.38
8192                    4.01
16384                   5.22
32768                   7.33
65536                   9.97
131072                 15.43
262144                 25.92
524288                 47.32
1048576                92.73
2097152               183.59
4194304               365.29
