# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_lock_all/unlock_all
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on DEVICE (D)
# Size          Latency (us)
1                      18.98
2                      18.80
4                      18.86
8                      18.91
16                     18.93
32                     18.95
64                     19.01
128                    19.02
256                    19.07
512                    19.13
1024                   19.33
2048                   20.02
4096                   20.34
8192                   21.26
16384                  22.61
32768                  24.97
65536                  27.36
131072                 33.09
262144                 43.82
524288                122.24
1048576               198.03
2097152               289.87
4194304               481.62
