# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_lock/unlock
# Size          Latency (us)
1                      10.76
2                      10.73
4                      10.77
8                      10.79
16                     10.80
32                     10.81
64                     10.77
128                    10.87
256                    10.91
512                    10.90
1024                   11.00
2048                   11.26
4096                   11.58
8192                   12.84
16384                  14.13
32768                  16.13
65536                  18.68
131072                 23.93
262144                 34.61
524288                 55.84
1048576               101.35
2097152               192.24
4194304               374.01
