# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_create
# Synchronization: MPI_Win_lock/unlock
# Size      Bandwidth (MB/s)
1                       1.57
2                       3.46
4                       6.68
8                      13.49
16                     26.86
32                     54.37
64                    109.73
128                   216.83
256                   403.04
512                   795.95
1024                 1596.89
2048                 2914.97
4096                 5457.69
8192                 9243.62
16384               10576.38
32768               11391.91
65536               11813.18
131072              12048.80
262144              12171.01
524288              12232.19
1048576             12262.41
2097152             12279.81
4194304             12287.14
