# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_post/start/complete/wait
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on DEVICE (D)
# Size          Latency (us)
1                       9.32
2                       9.09
4                       9.16
8                       9.22
16                      9.23
32                      9.20
64                      9.35
128                     9.27
256                     9.41
512                     9.39
1024                    9.41
2048                    9.63
4096                   11.23
8192                   11.83
16384                  12.61
32768                  15.98
65536                  17.22
131072                 24.39
262144                 33.96
524288                111.20
1048576               185.79
2097152               275.68
4194304               468.22
