# OSU MPI_Get-CUDA Bandwidth Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_lock/unlock
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on DEVICE (D)
# Size      Bandwidth (MB/s)
1                       0.06
2                       0.12
4                       0.23
8                       0.47
16                      0.94
32                      1.87
64                      3.75
128                     7.51
256                    15.01
512                    30.02
1024                   59.94
2048                  119.35
4096                  239.50
8192                  473.73
16384                 939.40
32768                1913.96
65536                3900.99
131072               7959.45
262144              10094.16
524288              11141.23
1048576             11668.17
2097152             11992.06
4194304             12158.39
