# OSU MPI_Get-CUDA latency Test v5.6.2
# Window creation: MPI_Win_create_dynamic
# Synchronization: MPI_Win_lock/unlock
# Rank 0 Memory on DEVICE (D) and Rank 1 Memory on DEVICE (D)
# Size          Latency (us)
1                      45.45
2                      45.25
4                      45.25
8                      45.27
16                     45.33
32                     45.32
64                     45.19
128                    45.24
256                    45.30
512                    45.35
1024                   45.52
2048                   46.33
4096                   46.62
8192                   47.81
16384                  50.17
32768                  51.21
65536                  54.84
131072                 62.45
262144                 78.76
524288                111.59
1048576               183.18
2097152               268.57
4194304               448.23
