# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_fence
# Size          Latency (us)
1                       5.62
2                       5.61
4                       5.60
8                       5.59
16                      5.62
32                      5.63
64                      5.63
128                     5.65
256                     5.64
512                     5.70
1024                    5.92
2048                    6.19
4096                    6.46
8192                    6.91
16384                   8.71
32768                  10.84
65536                  23.48
131072                 18.69
262144                 29.49
524288                 50.83
1048576                93.48
2097152               178.81
4194304               349.41
