# OSU MPI_Get latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_fence
# Size          Latency (us)
1                       6.12
2                       6.12
4                       6.11
8                       6.16
16                      6.16
32                      6.17
64                      6.19
128                     6.19
256                     6.21
512                     6.27
1024                    6.38
2048                    6.83
4096                    7.18
8192                    8.26
16384                   9.50
32768                  11.90
65536                  14.28
131072                 19.38
262144                 29.98
524288                 51.25
1048576                96.94
2097152               188.14
4194304               370.53
