# OSU MPI_Get Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_fence
# Size      Bandwidth (MB/s)
1                       0.86
2                       1.72
4                       3.45
8                       6.88
16                     13.68
32                     27.24
64                     53.82
128                   106.68
256                   210.26
512                   404.47
1024                  762.68
2048                 1330.13
4096                 2129.23
8192                 3158.59
16384                4209.31
32768                5392.64
65536                7521.30
131072               9338.29
262144              10633.81
524288              11428.08
1048576             11463.25
2097152             11465.83
4194304             11414.68
