# OSU MPI_Put Latency Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_lock_all/unlock_all
# Size          Latency (us)
1                       8.88
2                       8.85
4                       8.88
8                       8.89
16                      8.90
32                      8.86
64                      8.91
128                     8.88
256                    10.32
512                    10.35
1024                   10.51
2048                   10.70
4096                   11.10
8192                   12.00
16384                  13.24
32768                  15.32
65536                  18.04
131072                 23.33
262144                 34.02
524288                 55.40
1048576                98.03
2097152               183.48
4194304               354.19
