# OSU MPI_Put Bandwidth Test v5.6.2
# Window creation: MPI_Win_allocate
# Synchronization: MPI_Win_lock_all/unlock_all
# Size      Bandwidth (MB/s)
1                       1.82
2                       3.71
4                       7.45
8                      14.88
16                     29.53
32                     58.23
64                    116.29
128                   228.27
256                   398.62
512                   832.98
1024                 1622.05
2048                 3291.50
4096                 6093.79
8192                 9398.63
16384               10654.61
32768               11408.79
65536               11832.43
131072              12054.94
262144              12177.78
524288              12234.43
1048576             12263.43
2097152             12279.64
4194304             12287.14
